# Per-repetition fio results behind PERFORMANCE.md §3.1 (4 KiB random write, WD SN530).
# Extracted from /mnt/nvme/results/<run>/randwrite4k_qd<N>_rep<R>.json on the bench box:
#   mb_s   = jobs[0].write.bw_bytes / 1e6
#   p99_us = jobs[0].write.clat_ns.percentile["99.000000"] / 1000
# Stored unrounded: spread is a ratio of small differences, and rounding to
# 0.1 moves it by up to 0.2 points.
# plotted=0 rows are kept so the withholding stays auditable:
#   20260820-032106 qd1  all reps withheld, climbed monotonically (§3.1 †, §5)
#   rerun-qd1       qd1  rep 1 discarded as a warm-up transient
#   rerun-qd1       qd2  anchor for comparability with 20260820-032106, not a curve point
run,qd,rep,mb_s,p99_us,iops,plotted
20260820-032106,1,1,58.1942,382.976,14208,0
20260820-032106,1,2,87.6826,81.408,21407,0
20260820-032106,1,3,129.3237,64.256,31573,0
20260820-032106,1,4,252.2167,14.656,61576,0
20260820-032106,1,5,253.0199,14.528,61772,0
20260820-032106,2,1,409.9973,23.680,100097,1
20260820-032106,2,2,407.7524,22.912,99549,1
20260820-032106,2,3,410.0608,22.656,100112,1
20260820-032106,2,4,409.3263,23.680,99933,1
20260820-032106,2,5,410.0990,23.168,100122,1
20260820-032106,4,1,422.2012,216.064,103076,1
20260820-032106,4,2,419.6855,220.160,102462,1
20260820-032106,4,3,420.2917,220.160,102610,1
20260820-032106,4,4,419.6289,220.160,102448,1
20260820-032106,4,5,418.2481,220.160,102111,1
20260820-032106,8,1,422.9030,415.744,103248,1
20260820-032106,8,2,419.7006,411.648,102466,1
20260820-032106,8,3,418.8473,419.840,102258,1
20260820-032106,8,4,420.5420,415.744,102671,1
20260820-032106,8,5,420.5293,415.744,102668,1
20260820-032106,16,1,419.5495,700.416,102429,1
20260820-032106,16,2,423.0133,675.840,103275,1
20260820-032106,16,3,419.9571,692.224,102528,1
20260820-032106,16,4,419.7771,692.224,102485,1
20260820-032106,16,5,420.4996,684.032,102661,1
20260820-032106,32,1,419.5573,1122.304,102431,1
20260820-032106,32,2,420.1188,1122.304,102568,1
20260820-032106,32,3,422.9981,1073.152,103271,1
20260820-032106,32,4,420.3242,1138.688,102618,1
20260820-032106,32,5,422.2649,1105.920,103092,1
20260820-032106,64,1,421.9695,1810.432,103019,1
20260820-032106,64,2,420.3154,1957.888,102616,1
20260820-032106,64,3,421.5346,1843.200,102913,1
20260820-032106,64,4,422.4546,1875.968,103138,1
20260820-032106,64,5,420.8147,1925.120,102737,1
rerun-qd1,1,1,53.2200,387.072,12993,0
rerun-qd1,1,2,250.2829,14.784,61104,1
rerun-qd1,1,3,251.9320,14.528,61507,1
rerun-qd1,1,4,253.3944,14.400,61864,1
rerun-qd1,1,5,253.1738,14.528,61810,1
rerun-qd1,2,1,79.5112,440.320,19412,0
rerun-qd1,2,2,406.7105,22.912,99295,0
rerun-qd1,2,3,407.8624,24.960,99576,0
rerun-qd1,2,4,406.4225,22.656,99224,0
rerun-qd1,2,5,409.1453,23.936,99889,0
